DateTime,pod1,pod2
2021-07-12 14:59:47.014000,364032000,387706880
2021-07-12 14:59:57.043000,364449792,388481024
2021-07-12 15:00:07.084000,364449792,388481024
2021-07-12 15:00:17.103000,364564480,388726784
2021-07-12 15:00:27.147000,364564480,388726784
2021-07-12 15:00:37.198000,364564480,388726784
2021-07-12 15:00:47.214000,364802048,388935680
2021-07-12 15:00:57.258000,364802048,388935680
2021-07-12 15:01:07.291000,364802048,388935680
2021-07-12 15:01:17.316000,369405952,379965440
2021-07-12 15:01:27.367000,369405952,379965440
2021-07-12 15:01:37.425000,369405952,379965440
2021-07-12 15:01:47.440000,369725440,380088320
2021-07-12 15:01:57.469000,369725440,380088320
2021-07-12 15:02:07.560000,369725440,380088320
2021-07-12 15:02:17.588000,369954816,381755392
2021-07-12 15:02:27.626000,369954816,381755392
2021-07-12 15:02:37.655000,369954816,381755392
2021-07-12 15:02:47.669000,370151424,382640128
2021-07-12 15:02:57.702000,370151424,382640128
2021-07-12 15:03:07.758000,370151424,382640128
2021-07-12 15:03:17.783000,373211136,382812160
2021-07-12 15:03:27.814000,373211136,382812160
2021-07-12 15:03:37.846000,373211136,382812160
2021-07-12 15:03:47.865000,373755904,386711552
2021-07-12 15:03:57.875000,373755904,386711552
2021-07-12 15:04:07.894000,373755904,386711552
2021-07-12 15:04:17.911000,374034432,386850816
2021-07-12 15:04:27.924000,374034432,386850816
2021-07-12 15:04:37.929000,374034432,386850816
2021-07-12 15:04:47.935000,374255616,387207168
2021-07-12 15:04:57.978000,374255616,387207168
2021-07-12 15:05:08.045000,374255616,387207168
2021-07-12 15:05:18.059000,374476800,387252224
2021-07-12 15:05:28.063000,374476800,387252224
2021-07-12 15:05:38.068000,374476800,387252224
2021-07-12 15:05:48.082000,374833152,387629056
2021-07-12 15:05:58.114000,374833152,387629056
2021-07-12 15:06:08.125000,374833152,387629056
2021-07-12 15:06:18.136000,374935552,387731456
2021-07-12 15:06:28.151000,374935552,387731456
2021-07-12 15:06:38.164000,374935552,387731456
2021-07-12 15:06:48.176000,372264960,412536832
2021-07-12 15:06:58.185000,372264960,412536832
2021-07-12 15:07:08.190000,372264960,412536832
2021-07-12 15:07:18.208000,372510720,413843456
2021-07-12 15:07:28.245000,372510720,413843456
2021-07-12 15:07:38.259000,372510720,413843456
2021-07-12 15:07:48.280000,375140352,432652288
2021-07-12 15:07:58.296000,375140352,432652288
2021-07-12 15:08:08.312000,375140352,432652288
2021-07-12 15:08:18.325000,375349248,397877248
2021-07-12 15:08:28.345000,375349248,397877248
2021-07-12 15:08:38.366000,375349248,397877248
2021-07-12 15:08:48.399000,375525376,429314048
2021-07-12 15:08:58.423000,375525376,429314048
2021-07-12 15:09:08.441000,375525376,429314048
2021-07-12 15:09:18.459000,375754752,425660416
2021-07-12 15:09:28.478000,375754752,425660416
2021-07-12 15:09:38.503000,375754752,425660416
2021-07-12 15:09:48.519000,375996416,426192896
